indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,14.1(15),3,41285,64,0,2,7.7,1021.4(24),1,1013.8,1010.1,14.7,34.5(02),20.1,8,0,9,18/22.8(30),6,19,68,0,12,6.0(29),254,146,0,0,1771,99.4,15,2,12,0,14.4,0,20.2,25.7,0,996.4(30),11,2018-10
5783,30.1(11),7,26344,80,0,4,5.4,1022.0(28),0,1016.4,1012.7,10.4,23.1(11),15.2,0,0,1,27/14.4(25),5,22,53,0,15,5.6(29),222,135,1,2,819,129.5,17,0,9,0,15.8,0,14.7,19.0,0,996.3(18),12,2018-11
5783,3.6(12),1,28698,74,0,2,8.0,1029.8(21),1,1026.3,1022.5,7.2,23.4(06),12.2,0,0,10,30/18.1(13),0,20,83,0,4,4.2(28),210,110,0,0,1096,10.3,5,0,9,0,13.0,0,12.9,18.5,0,1009.7(13),4,2018-12
5783,30.1(11/nov),36,638381,62,0,22,8.9,1033.6(01/ene),28,1016.4,1012.8,12.7,44.5(03/ago),24.7,106,0,123,23/25.3(01/mar),27,206,72,1,92,-0.6(09/feb),269,134,1,7,26161,594.7,101,14,12,1,9.6,0,18.8,24.8,0,983.2(01/mar),68,2018-13
5783,23.0(05),6,26240,76,0,4,6.1,1033.6(01),2,1024.0,1020.2,6.1,19.8(22),12.5,0,0,8,08/16.4(28),3,17,61,0,8,2.8(09),208,103,0,2,1036,71.2,9,2,9,0,9.6,0,11.2,16.2,0,996.8(06),6,2018-1
5783,16.3(28),2,36944,61,0,3,8.3,1023.2(15),1,1015.3,1011.6,4.8,22.4(16),13.5,0,0,10,21/21.7(28),1,16,77,0,5,-0.6(09),242,84,0,2,1387,23.7,5,0,11,1,12.5,0,11.1,17.4,0,990.2(28),3,2018-2
5783,19.9(17),10,43306,73,0,2,6.3,1024.4(27),14,1012.3,1008.6,9.1,26.5(28),14.4,0,0,6,23/25.3(01),7,15,52,1,21,3.8(22),404,118,0,0,1309,139.1,21,0,18,0,14.5,0,13.6,18.0,0,983.2(01),17,2018-3
5783,20.3(12),3,62217,67,0,3,9.0,1020.2(17),6,1013.7,1010.0,10.9,28.4(18),16.8,0,0,4,23/20.0(10),3,23,69,0,14,5.8(14),335,128,0,1,1971,78.9,15,6,16,0,14.6,0,16.4,21.8,0,995.7(10),9,2018-4
5783,11.4(19),3,72153,58,0,2,9.5,1019.5(13),0,1014.7,1011.1,13.1,30.2(17),16.2,1,0,5,99/14.4(04),1,23,67,0,9,7.2(02),253,135,0,0,2463,16.5,9,3,12,0,18.1,0,19.4,25.6,0,1004.8(16),3,2018-5
5783,1.4(08),1,76830,50,0,0,11.1,1016.0(07),1,1014.8,1011.3,16.9,39.3(18),20.7,14,0,11,23/16.4(06),0,18,76,0,2,13.6(02),293,151,0,0,2930,1.8,3,0,14,0,20.6,0,23.7,30.4,0,1002.9(29),1,2018-6
5783,0.0(--),0,88707,47,0,0,12.8,1017.9(05),0,1015.3,1011.7,17.9,39.1(31),20.0,25,0,22,21/13.9(15),0,9,88,0,0,16.1(16),286,159,0,0,3525,0.0,0,0,13,0,27.0,0,25.6,33.3,0,1006.8(17),0,2018-7
5783,0.0(--),0,74957,39,0,0,11.7,1015.3(11),0,1013.7,1010.2,21.3,44.5(03),24.7,31,0,22,29/13.3(10),0,9,86,0,0,17.6(10),273,159,0,0,4763,0.0,0,0,13,0,30.7,0,29.7,38.0,0,1004.2(07),0,2018-8
5783,19.6(14),0,60700,51,0,0,10.4,1021.4(27),2,1016.5,1013.0,20.2,39.0(01),22.5,27,0,15,07/18.6(14),1,15,84,0,2,17.6(07),251,176,0,0,3091,24.3,2,1,11,0,27.7,0,27.1,33.8,0,1006.6(02),2,2018-9
