indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,3.4(03),3,43451,52,0,1,9.0,1019.8(05),2,1017.9,1014.3,14.6,32.3(06),17.8,11,0,8,22/17.5(30),0,20,80,0,2,10.9(22),241,135,0,1,4.6,3,0,11,0,23.6,0,21.7,28.6,0,1007.6(30),2,2021-10
5783,18.6(20),3,23984,66,0,1,7.6,1024.9(30),0,1017.7,1013.9,7.7,24.6(01),19.5,0,0,14,13/15.0(19),1,13,74,0,6,2.7(24),237,102,0,0,29.9,6,1,10,0,14.1,0,13.4,19.0,0,1005.9(25),3,2021-11
5783,16.0(22),7,17660,74,0,2,6.1,1026.2(06),1,1022.4,1018.7,8.0,22.0(12),15.3,0,0,14,21/16.9(25),2,10,64,0,7,2.5(03),289,114,0,1,44.5,9,1,13,0,15.3,0,13.2,18.3,0,1002.7(25),5,2021-12
5783,48.4(08/ene),36,614841,58,0,14,,1028.4(13/ene),,1017.2,1013.5,13.0,44.9(14/ago),24.5,133,0,147,,11,182,,,63,-1.5(03/ene),,131,1,8,303.7,71,5,12,4,8.3,0,19.6,26.0,0,993.3(08/ene),38,2021-13
5783,48.4(08),3,26284,82,0,2,,1028.4(13),2,1019.7,1015.9,5.6,22.6(28),14.4,0,0,10,18/16.1(20),3,18,,0,15,-1.5(03),268,108,1,2,83.8,14,0,12,4,8.3,0,10.3,15.0,0,993.3(08),6,2021-1
5783,15.5(07),9,29175,79,0,4,5.3,1028.2(23),2,1019.0,1015.3,9.2,24.1(17),13.8,0,0,5,20/20.6(08),2,14,49,0,10,4.5(22),271,128,0,3,45.1,9,0,12,0,14.4,0,14.0,18.7,0,998.4(05),4,2021-2
5783,14.2(05),3,52851,59,0,2,8.6,1025.2(11),0,1019.8,1016.1,8.9,30.2(31),15.8,1,0,12,07/14.4(20),1,16,72,0,4,1.6(21),248,104,0,1,17.5,4,0,11,0,15.3,0,15.3,21.7,0,1005.9(31),3,2021-3
5783,13.9(26),3,56146,62,0,2,7.6,1018.1(12),1,1013.9,1010.3,12.4,27.2(06),15.2,0,0,1,20/15.3(26),1,26,58,0,9,9.9(03),253,131,0,0,33.0,10,2,11,0,21.2,0,18.3,24.0,0,1001.4(27),6,2021-4
5783,6.1(09),2,76665,44,0,0,11.4,1020.6(11),,1016.3,1012.7,13.6,35.1(29),18.4,16,0,10,,0,19,80,,3,7.6(02),,117,0,0,9.3,5,0,12,0,21.1,0,21.4,29.2,0,1004.7(08),3,2021-5
5783,2.9(17),0,78488,45,0,0,11.6,1019.5(05),0,1015.6,1012.0,17.0,38.7(08),20.0,22,0,14,20/15.0(03),0,16,79,0,3,12.9(02),296,142,0,0,5.8,4,0,14,0,25.2,0,24.6,32.2,0,1007.7(16),3,2021-6
5783,0.3(11),0,81939,37,0,0,12.7,1015.8(08),0,1014.0,1010.5,20.0,42.1(10),24.1,30,0,26,27/14.4(06),0,5,88,0,1,16.6(02),283,147,0,0,0.3,1,0,13,0,33.1,0,28.5,37.0,0,1005.4(24),0,2021-7
5783,0.0(--),0,73603,44,0,0,11.9,1014.8(13),0,1013.7,1010.2,20.6,44.9(14),24.2,31,0,20,24/12.5(07),0,11,88,0,0,16.6(08),257,172,0,0,0.0,1,0,12,0,31.2,0,28.7,36.7,0,1003.9(06),0,2021-8
5783,23.3(13),3,54595,54,0,0,9.3,1019.9(29),2,1016.0,1012.4,18.6,38.5(05),24.5,22,0,13,24/18.6(05),1,14,75,0,3,16.0(26),246,170,0,0,29.9,5,1,12,0,24.9,0,25.2,31.7,0,1006.4(12),3,2021-9
