indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
5783,10.8(17),1,46402,48,0,1,9.3,1022.4(27),0,1019.5,1015.9,16.2,35.7(15),20.2,20,0,19,24/10.8(17),1,11,83,0,2,10.9(30),169,133,0,0,2877,13.3,2,2,8,0,22.5,0,23.8,31.3,0,1007.3(19),2,2017-10
5783,32.4(28),3,32714,60,0,0,8.1,1026.1(10),0,1019.5,1015.7,8.8,27.3(01),16.2,0,0,17,99/15.0(06),2,10,80,0,6,5.1(22),165,104,1,0,1770,62.2,6,3,7,0,15.8,0,15.4,22.0,0,1001.9(29),4,2017-11
5783,22.8(10),4,27045,71,0,1,7.0,1035.1(22),1,1026.1,1022.3,6.2,21.0(30),15.0,0,0,19,22/21.1(11),1,8,72,0,5,2.4(01),235,99,0,0,1188,28.3,7,0,10,0,13.3,0,11.5,16.7,0,993.5(11),3,2017-12
5783,35.2(27/abr),36,651311,54,0,7,9.6,1035.1(22/dic),9,1018.0,1014.3,13.4,43.6(12/jul),24.6,151,0,181,22/21.1(11/dic),12,148,78,0,52,0.0(19/ene),230,125,2,3,32640,321.0,56,8,11,1,9.8,0,20.2,27.0,0,991.7(12/feb),34,2017-13
5783,10.6(26),2,30850,69,0,0,8.3,1027.8(15),0,1022.5,1018.7,4.0,19.3(04),7.6,0,0,16,17/14.4(26),1,13,84,0,3,0.0(19),156,88,0,0,1107,12.4,3,0,7,1,9.8,0,10.2,16.4,0,1004.2(26),2,2017-1
5783,18.1(12),11,25820,74,0,3,5.2,1029.3(06),2,1019.4,1015.7,9.2,21.9(22),13.3,0,0,2,16/16.9(12),1,15,48,0,10,4.2(09),268,118,0,1,1157,55.2,11,1,12,0,13.6,0,13.6,17.9,0,991.7(12),8,2017-2
5783,20.5(04),7,49082,67,0,2,8.1,1024.8(06),4,1019.3,1015.6,9.4,28.4(09),12.5,0,0,7,27/19.7(03),2,17,68,0,11,3.3(24),269,116,0,1,1778,58.4,11,0,14,0,14.0,0,15.4,21.3,0,1002.9(04),8,2017-3
5783,35.2(27),3,59075,53,0,0,10.2,1021.7(01),0,1016.1,1012.5,12.6,32.7(18),16.0,4,0,10,08/15.0(21),2,17,78,0,4,8.4(04),291,118,1,1,2814,48.9,4,0,13,0,16.8,0,19.4,26.2,0,1004.1(18),2,2017-4
5783,17.0(10),5,75372,49,0,0,10.6,1021.5(14),1,1014.7,1011.1,15.4,35.9(24),19.4,14,0,9,23/15.3(05),2,17,75,0,7,9.5(01),266,134,0,0,3102,33.3,7,1,13,0,21.2,0,22.2,28.9,0,999.3(10),4,2017-5
5783,0.0(--),0,84506,37,0,0,13.2,1018.3(23),1,1014.0,1010.5,20.0,43.3(16),24.6,28,0,19,28/17.5(25),0,11,90,0,0,15.6(05),264,145,0,0,4389,0.0,1,0,13,0,29.5,0,28.0,36.0,0,1004.7(12),0,2017-6
5783,0.6(05),0,84753,40,0,0,12.9,1017.2(02),0,1013.9,1010.4,20.2,43.6(12),23.9,29,0,26,09/14.4(03),0,5,89,0,2,15.5(01),268,157,0,0,4264,0.9,2,0,13,0,28.3,0,28.4,36.5,0,1004.5(31),0,2017-7
5783,7.8(29),0,74642,37,0,0,11.7,1015.2(16),0,1014.0,1010.5,21.2,43.4(04),24.4,29,0,21,99/11.7(06),0,10,86,0,2,16.8(30),214,146,0,0,4722,8.1,2,1,10,0,29.0,0,29.3,37.5,0,1005.8(26),1,2017-8
5783,0.0(--),0,61050,42,0,0,10.9,1018.6(19),0,1016.4,1012.8,17.7,38.6(06),22.5,27,0,16,28/13.3(09),0,14,88,0,0,12.5(18),192,136,0,0,3472,0.0,0,0,8,0,25.8,0,25.7,33.6,0,1005.2(09),0,2017-9
