AÑO;MES;CATEGORIA_ALOJAMIENTO;CCAA;PROVINCIA;PERIODO_ANTELACION;PRECIO_CHECK-IN_ENTRE_SEMANA;PRECIO_CHECK-IN_FIN_SEMANA
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;132,0;157,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;262,0;266,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;88,0;115,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;124,0;138,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;239,0;292,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;90,0;129,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;124,0;152,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;244,0;314,0
2019;6;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;82,0;97,0
2019;6;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;117,0;133,0
2019;6;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;275,0;299,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;57,0;64,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;80,0;86,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;199,0;221,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;57,0;63,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;77,0;83,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;192,0;216,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;57,0;65,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;77,0;84,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;206,0;211,0
2019;7;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;64,0;71,0
2019;7;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;91,0;96,0
2019;7;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;223,0;224,0
2019;8;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;55,0;63,0
2019;8;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;76,0;79,0
2019;8;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;185,0;189,0
2019;8;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;56,0;63,0
2019;8;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;76,0;78,0
2019;8;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;191,0;196,0
2019;8;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;56,0;62,0
2019;8;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;74,0;77,0
2019;8;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;182,0;194,0
2019;8;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;69,0;78,0
2019;8;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;95,0;103,0
2019;8;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;233,0;243,0
2019;9;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;110,0;124,0
2019;9;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;146,0;176,0
2019;9;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;307,0;292,0
2019;9;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;111,0;134,0
2019;9;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;148,0;171,0
2019;9;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;280,0;284,0
2019;9;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;107,0;132,0
2019;9;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;146,0;169,0
2019;9;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;276,0;249,0
2019;9;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;96,0;118,0
2019;9;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;133,0;160,0
2019;9;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;308,0;317,0
2019;10;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;108,0;140,0
2019;10;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;146,0;182,0
2019;10;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;311,0;269,0
2019;10;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;110,0;154,0
2019;10;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;147,0;180,0
2019;10;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;327,0;382,0
2019;10;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;107,0;146,0
2019;10;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;149,0;183,0
2019;10;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;273,0;303,0
2019;10;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;100,0;120,0
2019;10;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;138,0;160,0
2019;10;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;311,0;328,0
2019;11;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;74,0;106,0
2019;11;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;103,0;124,0
2019;11;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;233,0;247,0
2019;11;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;78,0;113,0
2019;11;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;103,0;133,0
2019;11;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;244,0;248,0
2019;11;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;77,0;109,0
2019;11;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;103,0;130,0
2019;11;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;237,0;245,0
2019;11;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;68,0;85,0
2019;11;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;99,0;115,0
2019;11;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;223,0;250,0
2019;12;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;60,0;92,0
2019;12;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;82,0;114,0
2019;12;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;184,0;212,0
2019;12;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;63,0;90,0
2019;12;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;81,0;111,0
2019;12;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;208,0;247,0
2019;12;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;60,0;89,0
2019;12;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;81,0;106,0
2019;12;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;204,0;221,0
2019;12;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;64,0;84,0
2019;12;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;84,0;103,0
2019;12;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;189,0;229,0
2020;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;59,0;75,0
2020;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;78,0;95,0
2020;1;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;172,0;183,0
2020;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;59,0;72,0
2020;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;76,0;91,0
2020;1;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;163,0;221,0
2020;1;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;58,0;71,0
2020;1;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;75,0;92,0
2020;1;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;160,0;184,0
2020;1;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;59,0;71,0
2020;1;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;80,0;89,0
2020;1;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;184,0;194,0
2020;2;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;61,0;87,0
2020;2;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;82,0;110,0
2020;2;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;186,0;211,0
2020;2;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;61,0;87,0
2020;2;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;79,0;119,0
2020;2;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;175,0;228,0
2020;2;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;61,0;88,0
2020;2;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;81,0;115,0
2020;2;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;186,0;222,0
2020;2;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;62,0;86,0
2020;2;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;85,0;107,0
2020;2;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;207,0;223,0
2020;3;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;84,0;97,0
2020;3;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;99,0;129,0
2020;3;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;213,0;258,0
2020;3;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;64,0;87,0
2020;3;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;87,0;122,0
2020;3;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;211,0;241,0
2020;3;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;70,0;93,0
2020;3;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;96,0;125,0
