AÑO;MES;PAIS_ORIGEN;CCAA;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA
2019;7;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2019;7;Francia;Andalucía;Sevilla;86,66;77,73;94,72;100,0
2019;7;Italia;Andalucía;Sevilla;97,62;73,14;100,0;100,0
2019;7;Noruega;Andalucía;Sevilla;93,07;73,13;100,0;100,0
2019;7;Portugal;Andalucía;Sevilla;83,76;70,9;100,0;100,0
2019;7;Reino Unido;Andalucía;Sevilla;95,15;69,17;91,44;92,06
2019;7;Suecia;Andalucía;Sevilla;94,33;73,95;100,0;100,0
2019;7;Total;Andalucía;Sevilla;91,61;71,26;94,97;93,46
2019;8;Alemania;Andalucía;Sevilla;89,54;74,52;100,0;89,84
2019;8;Dinamarca;Andalucía;Sevilla;82,32;66,37;100,0;100,0
2019;8;España;Andalucía;Sevilla;87,3;69,4;89,67;90,28
2019;8;Estados Unidos de América;Andalucía;Sevilla;86,75;65,8;100,0;100,0
2019;8;Francia;Andalucía;Sevilla;84,62;79,47;89,55;95,56
2019;8;Italia;Andalucía;Sevilla;99,18;72,5;98,5;97,78
2019;8;Noruega;Andalucía;Sevilla;86,79;71,87;100,0;100,0
2019;8;Portugal;Andalucía;Sevilla;83,66;73,45;100,0;91,07
2019;8;Reino Unido;Andalucía;Sevilla;97,59;74,35;93,49;87,89
2019;8;Suecia;Andalucía;Sevilla;99,59;71,23;100,0;100,0
2019;8;Total;Andalucía;Sevilla;90,18;70,86;94,06;93,07
2019;9;Alemania;Andalucía;Sevilla;80,75;79,68;100,0;100,0
2019;9;Dinamarca;Andalucía;Sevilla;84,09;65,8;100,0;100,0
2019;9;España;Andalucía;Sevilla;74,0;62,41;89,38;85,49
2019;9;Estados Unidos de América;Andalucía;Sevilla;86,82;66,81;100,0;100,0
2019;9;Francia;Andalucía;Sevilla;75,34;76,34;92,35;97,15
2019;9;Italia;Andalucía;Sevilla;90,24;79,26;89,02;77,09
2019;9;Noruega;Andalucía;Sevilla;100,0;72,28;100,0;100,0
2019;9;Portugal;Andalucía;Sevilla;90,28;74,58;100,0;100,0
2019;9;Reino Unido;Andalucía;Sevilla;92,19;74,86;95,09;92,72
2019;9;Suecia;Andalucía;Sevilla;87,41;90,29;100,0;100,0
2019;9;Total;Andalucía;Sevilla;82,77;67,8;94,42;87,64
2019;10;Alemania;Andalucía;Sevilla;68,84;67,6;89,64;84,57
2019;10;Dinamarca;Andalucía;Sevilla;74,31;32,9;100,0;100,0
2019;10;España;Andalucía;Sevilla;72,93;66,19;91,49;95,28
2019;10;Estados Unidos de América;Andalucía;Sevilla;88,05;74,33;100,0;100,0
2019;10;Francia;Andalucía;Sevilla;63,6;72,62;100,0;94,36
2019;10;Italia;Andalucía;Sevilla;79,83;68,01;97,96;87,83
2019;10;Noruega;Andalucía;Sevilla;79,5;36,95;100,0;100,0
2019;10;Portugal;Andalucía;Sevilla;62,36;76,53;100,0;100,0
2019;10;Reino Unido;Andalucía;Sevilla;92,54;76,27;98,53;86,89
